source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,cmsis_pdsc,Nuvoton,Nuvoton.AudioSoCs_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.AudioSoCs_DFP.pdsc,1.0.1,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroCM23_DFP@1.0.4,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroCM23_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroCM23_DFP.pdsc,1.0.4,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroCM33_DFP@1.0.1,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroCM33_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroCM33_DFP.pdsc,1.0.1,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroCM_DFP@1.0.2,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroCM_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroCM_DFP.pdsc,1.0.2,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroKM1M0_DFP@1.0.4,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroKM1M0_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.NuMicroKM1M0_DFP.pdsc,1.0.4,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroKM1M4_DFP@1.1.0,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroKM1M4_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.NuMicroKM1M4_DFP.pdsc,1.1.0,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroM0_DFP@1.0.2,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroM0_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM0_DFP.pdsc,1.0.2,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroM23_DFP@1.0.7,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroM23_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM23_DFP.pdsc,1.0.7,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroM33_DFP@1.0.4,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroM33_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM33_DFP.pdsc,1.0.4,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroM4_DFP@1.0.2,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroM4_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM4_DFP.pdsc,1.0.2,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroM55_DFP@3.1.4-rc.5,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroM55_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM55_DFP.pdsc,3.1.4-rc.5,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicroM7_DFP@1.1.3,cmsis_pdsc,Nuvoton,Nuvoton.NuMicroM7_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.NuMicroM7_DFP.pdsc,1.1.3,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuMicro_DFP@1.3.26,cmsis_pdsc,Nuvoton,Nuvoton.NuMicro_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicro_DFP.pdsc,1.3.26,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Nuvoton.NuVoice_ISD_DFP@1.0.23,cmsis_pdsc,Nuvoton,Nuvoton.NuVoice_ISD_DFP,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.NuVoice_ISD_DFP.pdsc,1.0.23,2026-08-11T12:15:57+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
nuvoton-pdsc-fpu:NuMicroCM33_DFP@1.0.1,manufacturer_pdsc_description,Nuvoton,NuMicroCM33_DFP explicit FPU descriptions,https://github.com/OpenNuvoton/cmsis-packs,1.0.1,2026-08-12T17:22:48+00:00,"FPU presence only where the official PDSC description explicitly states Cortex-MxF, FPU, or floating-point."
nuvoton-pdsc-fpu:NuMicroKM1M4_DFP@1.1.0,manufacturer_pdsc_description,Nuvoton,NuMicroKM1M4_DFP explicit FPU descriptions,https://github.com/OpenNuvoton/cmsis-packs,1.1.0,2026-08-12T17:22:48+00:00,"FPU presence only where the official PDSC description explicitly states Cortex-MxF, FPU, or floating-point."
nuvoton-pdsc-fpu:NuMicroM4_DFP@1.0.2,manufacturer_pdsc_description,Nuvoton,NuMicroM4_DFP explicit FPU descriptions,https://github.com/OpenNuvoton/cmsis-packs,1.0.2,2026-08-12T17:22:48+00:00,"FPU presence only where the official PDSC description explicitly states Cortex-MxF, FPU, or floating-point."
nuvoton-pdsc-fpu:NuMicro_DFP@1.3.26,manufacturer_pdsc_description,Nuvoton,NuMicro_DFP explicit FPU descriptions,https://github.com/OpenNuvoton/cmsis-packs,1.3.26,2026-08-12T17:22:48+00:00,"FPU presence only where the official PDSC description explicitly states Cortex-MxF, FPU, or floating-point."
svd:Nuvoton.NuMicroCM23_DFP@1.0.4,official_pack_svd,Nuvoton,Nuvoton.NuMicroCM23_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroCM23_DFP.1.0.4.pack,1.0.4;sha256:5f6586920a3df2f49be14b3d378cc47ad50e22f971ecc9619f2594bd263d6980,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Nuvoton.NuMicroCM33_DFP@1.0.1,official_pack_svd,Nuvoton,Nuvoton.NuMicroCM33_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroCM33_DFP.1.0.1.pack,1.0.1;sha256:01e48f6d33909241a487aeb302715189f40e0c389ad40afc48821ee30dccbf7d,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Nuvoton.NuMicroKM1M0_DFP@1.0.4,official_pack_svd,Nuvoton,Nuvoton.NuMicroKM1M0_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.NuMicroKM1M0_DFP.1.0.4.pack,1.0.4;sha256:5532d6f22d922d8a179a9d7a4f1c57e7cb2e0bfc268661e275f0e5ee5635ecb9,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Nuvoton.NuMicroKM1M4_DFP@1.1.0,official_pack_svd,Nuvoton,Nuvoton.NuMicroKM1M4_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton.NuMicroKM1M4_DFP.1.1.0.pack,1.1.0;sha256:75c9e4cbd5e243dfdda30a3e6894a1705c986140ba7b979e612116c1d2686c02,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Nuvoton.NuMicroM0_DFP@1.0.2,official_pack_svd,Nuvoton,Nuvoton.NuMicroM0_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM0_DFP.1.0.2.pack,1.0.2;sha256:f7e5ad00e84febfa6e85b621d69503cc8eb8bbc4db1ca0d8148be034178398b1,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Nuvoton.NuMicroM23_DFP@1.0.7,official_pack_svd,Nuvoton,Nuvoton.NuMicroM23_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM23_DFP.1.0.7.pack,1.0.7;sha256:a51eeda09459a13a28ee09a6385bb11e789d5eb388e2fe71346d77156e52e15b,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Nuvoton.NuMicroM4_DFP@1.0.2,official_pack_svd,Nuvoton,Nuvoton.NuMicroM4_DFP SVD files,https://github.com/OpenNuvoton/cmsis-packs/raw/master/Nuvoton_DFP/Nuvoton.NuMicroM4_DFP.1.0.2.pack,1.0.2;sha256:10583162988054edb0da4cf67341392d9b05a136e87c117a06cfbb6dd066d18d,2026-09-01T01:02:12+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
