source_id,source_type,publisher,title,url,version,observed_at,verification_scope
allwinner:product-page:a333,manufacturer_product_page,Allwinner,Allwinner A333 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=137,live-product-page;sha256:56d62ff46617e1c25ed710de7d1e616ec1a912fabec9730f9344a57ed6b6661a,2026-08-22T16:13:28+00:00,"A333 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a523,manufacturer_product_page,Allwinner,Allwinner A523 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=108,live-product-page;sha256:c6c661cdfd81dce45ccbdf4c7e04bf3e96503d4b211c24cb1b4105a907fe795d,2026-08-22T16:13:28+00:00,"A523 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a527,manufacturer_product_page,Allwinner,Allwinner A527 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=109,live-product-page;sha256:e0e320197aaa3489c29e6e483a85831ae8225357a7fcd31ecebfd084b0c3eec0,2026-08-22T16:13:28+00:00,"A527 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a537,manufacturer_product_page,Allwinner,Allwinner A537 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=138,live-product-page;sha256:553dd502c1e1891c4b8e3a496c353f6c9238258efb0d597a20646b56a44afadc,2026-08-22T16:13:28+00:00,"A537 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a733,manufacturer_product_page,Allwinner,Allwinner A733 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=139,live-product-page;sha256:aed85038b26fd3d808793b311a9dbdbf42e68a580e5fc8c08850aec8bbc48b6a,2026-08-22T16:13:28+00:00,"A733 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:mr153,manufacturer_product_page,Allwinner,Allwinner MR153 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=149,live-product-page;sha256:5522f1be69ef936cf5af93572effe5a6cac55d8b2bf4e6a05394128e53a30be7,2026-08-22T16:13:28+00:00,MR153 real-time MCU core and robot-control interfaces.
allwinner:product-page:mr527,manufacturer_product_page,Allwinner,Allwinner MR527 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=121,live-product-page;sha256:3e0ddc8f365d95205ecc625c5bc6d0c4b686bb078339c299ada92ea3983dbe93,2026-08-22T16:13:28+00:00,MR527 independently usable MCU core and robot interfaces.
allwinner:product-page:mr536,manufacturer_product_page,Allwinner,Allwinner MR536 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=141,live-product-page;sha256:95686d4f2106b588f25c4a2615b2d341a9d9935d8c1d3e13805221aa834b7891,2026-08-22T16:13:28+00:00,MR536 independent MCU system and robot interfaces.
allwinner:product-page:r128,manufacturer_product_page,Allwinner,Allwinner R128 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=133,live-product-page;sha256:353c9b548399790673a33a38cd869c3f558f045d321957068f5e31b778c116bd,2026-08-22T16:13:28+00:00,"R128 MCU, DSP, memory, wireless and peripheral resources."
allwinner:product-page:t153,manufacturer_product_page,Allwinner,Allwinner T153 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=145,live-product-page;sha256:abb569f1dbe50d63da5457bd61ade30a6e721b09cc30e9a011b1802e95988e65,2026-08-22T16:13:28+00:00,"T153 MCU core, AMP software and industrial interfaces."
allwinner:product-page:t527,manufacturer_product_page,Allwinner,Allwinner T527 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=110,live-product-page;sha256:5ac0b025992f6a2aee8af6a68faa59a7be489b141952ed53854b80290731861d,2026-08-22T16:13:28+00:00,"T527 MCU core, industrial SoC accelerators and interfaces."
allwinner:product-page:t536,manufacturer_product_page,Allwinner,Allwinner T536 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=135,live-product-page;sha256:6d72948e4709548e8f7d719fa73655bf876742d198ef3b2ff3505d045b9e4236,2026-08-22T16:13:28+00:00,"T536 dual MCU cores, AMP software and industrial interfaces."
allwinner:product-page:t736,manufacturer_product_page,Allwinner,Allwinner T736 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=146,live-product-page;sha256:dd6ffa9f589bd270d65bba84cf400f98c4753ea7499a494d497dc239fb6f8f0d,2026-08-22T16:13:28+00:00,"T736 MCU core, industrial SoC accelerators and interfaces."
